Myanmar	Type	English
စိတ္ေရာဂါတစ္မ်ိဳးမ်ိဳးခံစားေနရသူကိုရည္ညႊန္းေသာစကား	-manaic	coidmb
စိတ္ေရာဂါတစ္မ်ိဳးမ်ိဳးကိုရည္ညႊန္းေသာစကား	-mania	coidmb
နာမ္ေျပာင္းေနာက္ဆက္	-ness	suff
ျခင္း	-ness	suff
မႈ	-ness	suff
ပိုင္ဆိုင္သူဗဟုဝုစ္ျဖစ္ေၾကာင္းျပေနာက္ဆက္	-s'	suff
ပိုင္ဆိုင္မႈကိုျပေသာေနာက္ဆက္	-s'	suff
တစ္ကိုယ္တည္း	(all) by myself	idm
ကိုယ့္ဘာသာကိုယ္	(all) by myself	idm
သြက္သြက္လည္ေအာင္ရူးေသာ	(as) mad as a hatter/a March hare	idm
ဗန္း  ေပါက္သလားမေမးနဲ႕	(as) nutty as a fruit cake	IDM
အသစ္တမွ်ေကာင္းေသာ	(as)good as new	idm
ေၾကာက္ရြံ႕၍သို႕ဖ်ားနာ၍မ်က္ႏွာျဖဴဖပ္ျဖဴေရာ္ျဖစ္သည္	(be, look, etc) green/ pale about the gills	idm
infml သိပ္ၾကားသိခ်င္သည္	(be) all ears	idm
နားစြင့္ထားသည္	(be) all ears	idm
ဆႏၵမရိွ	(be) in nmood for (doing) sth/ tdsth	idm
စိတ္မပါ	(be) in nmood for (doing) sth/ tdsth	idm
ဆႏၵရိွသည္	(be) in the mood for (doing) sth/ tdsth	idm
ေရွ႕သြားေနာက္လိုက္ညီသည္	(be) made for sb/each other	idm
လိုက္ဖက္သည္	(be) made for sb/each other	idm
အေႏွာင္အတည္းကင္းလြတ္မႈ	(be) one's own master/mistress	idm
လြတ္လပ္မႈ	(be) one's own master/mistress	idm
ဆြဲထုတ္သည္	(be) out on one's ear	idm
အတင္းထြက္ ေစသည္	(be) out on one's ear	idm
ေအးေအးသက္သာ	(be/feel) at (one's) ease	idm
ၿငိမ္းၿငိမ္းခ်မ္းခ်မ္း	(be/feel) at (one's) ease	idm
US ေျဖာင့္ျဖဴးသာယာေသာ ဘဝ	(on) easy street	idm
တိုတိုေျပာရလွ်င္	(put sth) in a nutshell	IDM
မ်က္စေအာက္မွာ	(right) under sb's(very)nose	IDM
မ်က္စေအာက္မွာ ေျဗာင္က်က်	(right) under sb's(very)nose	IDM
စစ္သားမ်ား သက္သာ အေန အထား ရပ္သည္	(stand) at ease	idm
ပထမ အဂၤလိပ္အကၡရာ	A	art
ယာဉ္ေမာင္း နားကပ္၍ဆရာလုပ္ေနသူ	a back-seat driver	idm
လူဆိုးလူေတ	a bad lot	idm
တုန္လႈပ္ေခ်ာက္ခ်ားျခင္း	a bag/ bundle of nerves	idm
ဒူးတုန္ျခင္း	a bag/ bundle of nerves	idm
ထိပ္ေျပာင္	a bald head	n
စ၌ အိုးနင္းခြက္နင္း ျဖစ္ျခင္း၊ အခက္အခဲႀကံုျခင္း	a baptism of fire	idm
အတီးမပါ အမ်ိဳးသားေလးေယာက္တြဲအဆို	a barber-shop quartet.	adj
တရစပ္စုၿပံဳပစ္ခတ္ျခင္း	a barrage of gunfire	n
ဖိုေသာအပင္	a barren fruit	n
ၿမံဳေသာမိန္းမ	a barren woman	n
အလြန္အေရးပါေသာ `ပုတ္ကိုယ္ႀကီး´	a big cheese	idm
အေကာင္	a big cheese	idm
ေနရာကြက္ကြက္ ကေလးမွာ ဩဇာရိွသူ	a big fish	idm
အေရးပါ ေသာပုဂၢိဳလ္	a big name	idm
ႀကီးႀကီးမာစတာ	a big name	idm
အေရးပါ ေသာပုဂၢိဳလ္	a big noise	idm
ႀကီးႀကီးမာစတာ	a big noise	idm
အေရးပါ ေသာပုဂၢိဳလ္	a big shot	idm
ႀကီးႀကီးမာစတာ	a big shot	idm
ျပႆနာ ဖန္တီးသည္	a can of worms	idm
ပ်ားတူအံု တုတ္ႏွင့္ထိုးသည္	a can of worms	idm
အေကာင္းဘက္သို႕ စိတ္သေဘာ ထားေျပာင္းလဲမႈ	a change of heart	idm
ဘဝသစ္	a clean sheet/slate	idm
က႑သစ္	a clean sheet/slate	idm
သီသီကေလး လြတ္ျခင္း	a close call/shave	idm
နကန္းတစ္လံုးမွ် မသေသာ ဘာသာရပ္	a closed book	idm
အခ်ိဳရည္	a cordial smile handshake.cordiality	n
အေဖ်ာ္ရည္	a cordial smile handshake.cordiality	n
အင္မတန္ ၿငီးေငြ႕စရာ ေကာင္းတဲ့ လူ	a crashing bore	idm
အဖ်ားရႉးသြားေသာ ျဖစ္ရပ္	a damp squib	idm
ခက္ေသာ၊ အလြန္လက္ဝင္ ေသာ ကိစၥ	a devil of a sth	idm
ေလာကတံတြာ ဓမၼတာ တရား	a fact of life	idm
လုပ္ေပ်ာ္ေသာလုပ္ငန္း	a going concern	idm
ခက္ခေသာ ျပႆနာ	a hard/tough nut (to crack)	IDM(infml)
ေခါင္းမာသူ	a hard/tough nut (to crack)	IDM(infml)
အသည္းမာျခင္း	a heart of stone	idm
အသနားအၾကင္နာမဲ့သည့္စိတ္	a heart of stone	idm
ကိုယ့္အိမ္ကိုယ့္ရာလိုေနရာ	a home from home; a home away from home	idm
မ်က္စေအာက္ကအေပ်ာက္မခံႏိုင္ေသာသူ၊အရာ	a hostage to fortune	idm
ဥအသက္	a hostage to fortune	idm
ရုပ္ေထြးေသာ ျပႆနာ	a knotty problem	n
စားေသာက္ဆိုင္တြင္ စားဖြယ္ စာရင္းမွ ေရြးခ်ယ္မွာယူရေသာ တစ္နပ္စာ	à la carte	adj
စားေသာက္ဆိုင္တြင္ စားဖြယ္ စာရင္းမွ ေရြးခ်ယ္မွာယူရေသာ တစ္နပ္စာ	à la carte	adv
ေခတ္မီ [ေသာ]	à la mode	adj
US ေရခဲမုန္႕တြဲလ်က္	à la mode	adj
ေခတ္မီ [ေသာ]	à la mode	adv
US ေရခဲမုန္႕တြဲလ်က္	à la mode	adv
ယြန္းစားပြဲ	a lacquered table	n
advanced level ၿဗိတိန္တြင္ GCSE ထက္ အဆင့္ျမင့္၍ တကၠသိုလ္အခ်ိဳ႕က တကၠသိုလ္ဝင္ စာေမးပြဲ အျဖစ္ အသိအမွတ္ျပဳထားေသာ ပညာရည္ သတ္မွတ္ခ်က္	A level	n
မယံုႏိုင္စရာပဲ	a likely story	idm
တစ္ကိုယ္ေတာ္သမား	a lone wolf	idm
မ်က္ႏွာေသ	a long face	idm
မ်က္စိသငယ္နားသငယ္	a long face	idm
ကံစြပ္ကံညားစြန္႕ရမည့္ ကိစၥ	a long shot	idm
လႈပ္ေလျမဳပ္ေလ အေျခအေန	a losing battle	idm
အမ်ားႀကီး	a lot, lots	pron
အမ်ားအျပား	a lot, lots	pron
တစ္ပံု တစ္ေခါင္းႀကီး	a lot, lots	pron
H A	a lot, lots	pron
မ်ားစြာ	a lot, lots	adv
အမ်ားႀကီး	a lot, lots	adv
အမ်ားႀကီး	a lot, lots	adv
မ်ားစြာ	a lot, lots	adv
မၾကာမၾကာ	a lot, lots	adv
အစု	a lot, lots	n
အသိုက္	a lot, lots	n
အသုတ္	a lot, lots	n
အပံု	a lot, lots	n
၁ ေလလံတင္သည့္ ပစၥည္း၊ အစု၊ အတြဲ	a lot, lots	n
အကြက္	a lot, lots	n
ကြက္လပ္	a lot, lots	n
ကုသိုလ္ကံ	a lot, lots	n
ၾကမၼာ	a lot, lots	n
ရင္နင့္ သည္	a lump in ones	idm
ၿမိဳ႕အသိုင္းအဝိုင္းႏွင့္ဝင္ဆံ႕သူ	a man about town	idm
ခရစ္ယာန္ဘုန္းေတာ္ႀကီး	a man of God	idm
ေယာက္်ားအခ်င္းခ်င္းပင္ေလးစားေလာက္သူ	a man's man	idm
ရည္မွန္းခ်က္ျပည့္ေစေသာနည္းလမ္း	a means tan end	idm
အျမင္ခ်င္းတူျခင္း	a meeting of minds	idm
စိတ္သေဘာခ်င္းတိုက္ဆိုင္မႈ	a meeting of minds	idm
ေျဖရွင္းရန္မလြယ္သည့္ျပႆနာ	a millstone round one's/ sb's neck	idm
လည္ေထာက္	a millstone round one's/ sb's neck	idm
ပင္းသကား	a millstone round one's/ sb's neck	idm
ႏွင့္ပတ္သက္၍ဗဟုသုတဟင္းေလးအိုး	a mine of information	idm
နည္းနည္း	a mite	adv
အနည္းငယ္မွ်	a mite	adv
မိုက္မဲမႈ	a mug's game	idm
မျပန္လမ္းသို႕ ပို႕လိုက္ ေသာ အရာ	a nail in sb's/sth's coffin	idm
နိဂံုးခ်ဳပ္ေစေသာအရာ	a nail in sb's/sth's coffin	idm
ေပါင္းရသင္းရ မေကာင္းေသာသူ	a nasty piece of work	idm
မယံုၾကည္ရေသာသူ	a nasty piece of work	idm
မခ်စ္ေသာ္လည္း ေအာင့္ကာ နမ္းရေသာ ကိစၥ	a necessary evil	IDM
တစ္ေသြးတစ္ေမြး	a new lease on life	idm
ညထြက္လည္ျခင္း	a night out	IDM
အရိပ္ျပ အေကာင္ထင္သည္	a nod as good as a wink (to a bling horse / man )	IDM (sayin
ၿဂိဳဟ္ေကာင္	a pain in the arse	idm
ေရႊျပည္ေအးဝါဒ	a policy of appeasement	idm
အက်ိဳးတရားမွသည္ ေနာက္ ေၾကာင္းျပန္ အေၾကာင္းတရား ဆင္ျခင္ေဖာ္ထုတ္ေသာ	a posteriori	adj
ေနာက္ေၾကာင္းျပန္ သံုးသပ္လ်က္	a posteriori	adv
ဒိဋႆဌသိျမင္ရေသာ အေၾကာင္းမွ အက်ိဳးျဖစ္မႈကို ဆင္ျခင္ေဖာ္ထုတ္ေသာ၊ လ်က္	a priori	adv
သာဓကအားျဖင့္ ̏သူတို႕ တစ္ေန႕လံုး လမ္းေလွ်ာက္ၾကရတဲ့အတြက္ ဆာေလာင္ ေနၾကမွာပဲ˝ဟု သံုးသပ္ျခင္း	a priori	adv
ဒိဋႆဌသိျမင္ရေသာ အေၾကာင္းမွ အက်ိဳးျဖစ္မႈကို ဆင္ျခင္ေဖာ္ထုတ္ေသာ၊ လ်က္	a priori	adj
သာဓကအားျဖင့္ ̏သူတို႕ တစ္ေန႕လံုး လမ္းေလွ်ာက္ၾကရတဲ့အတြက္ ဆာေလာင္ ေနၾကမွာပဲ˝ဟု သံုးသပ္ျခင္း	a priori	adj
ေခါက္အမိုးကား	a sofa that is convertible convertible currencies .convertibility	n
လူ႕အလႊာ	a walk of life	idm
အတန္အသင့္	a way	idm
အေတာ္အသင့္	a way	idm
အဏုျမဴဗံုး	A-bomb	n
အျမန္ေမာင္းလမ္းမႀကီးေအာက္အဆင့္ ရိွေသာ အဓိကလမ္းမ	A-road	n
B လမ္းမထက္ ပိုက်ယ္၍ ေျဖာင့္ျဖဴးသည္	A-road	n
အမူးေျပေအာင္မ်က္ႏွာသစ္သည့္အရက္	a/the hair of the dog	idm
အသည္းထိတ္ဖြယ္ေကာင္းေသာ	a/the hair of the dog	adj
ေရဟူဒီျပကၡဒိန္တြင္ ဆယ့္တစ္ ေျမာက္လ	ab	n
ေပတီးတြက္ခံုမ်ား	abaci	n
စိတ္ပ်က္ အံအားသင့္သြားသည္	aback	adv
ေပသီးတြက္ခံု	abacus	n
ေပသီးမ်ား	abacuses	n[pl]
သေဘာ၏ပဲ့ဘက္သို႕	abaft	adv
ပဲ့ဘက္တြင္	abaft	adv
ခရု	abalone	n
စားႏိုင္ေသာ ပင္လင္ ခရု	abalone	n
စားႏိုင္ေသာ ပင္လယ္ခရုမ်ား	abalones	n
စြန္႕ခြာသည္	abandon	v
ပယ္ခြာသည္	abandon	v
ပစ္ထားသည္	abandon	v
စြန္႕ပစ္သည္	abandon	v
ပစ္ပယ္သည္	abandon	v
စြန္႕လႊတ္သည္	abandon	v
စြန္႕သည္	abandon	v
ဖ်က္သိမ္းသည္	abandon	v
ဟန္မေဆာင္ ေတာ့	abandon	v
စိတ္လြတ္လက္လြတ္	abandon	n
အရွက္မရိွေသာ	abandoned	adj
လြတ္ေသာ	abandoned	adj
စြန္႕လႊတ္ခဲ့	abandoned	v[pt]
စြန္႕လႊတ္ခဲ့ၿပီး	abandoned	v[pp]
စြန္႕လႊတ္ေန	abandoning	v[ing]
လက္လႊတ္လိုက္ျခင္း	abandonment	n
ပစ္ပယ္လိုက္ျခင္း	abandonment	n
အထီး က်န္ျခင္း	abandonment	n
စြန္႕လႊတ္	abandons	v[sg]
နစ္နာေစသည္	abase	v
ႏွစ္သည္	abase	v
အညြန္႕ခ်ိဳးသည္	abase	v
နစ္နာေစခဲ့သည္	abased	v
ိနိမ့္က်ျခင္း	abasement	n
ႏိွမ္သည္	abases	v
နစ္နာသည္	abases	v
အရွက္ရေစသည္	abash	v
အေနခက္ေသာ	abashed	adj
ရွက္ေသာ	abashed	adj
အရွက္ရေစသည္	abashes	v
အရွက္ရေစျခင္း	abashing	v
အရွက္ရျခင္း	abashment	n
နစ္နာေနသည္	abasing	v
စဲသည္	abate	v
ေလ်ာ့သည္	abate	v
သားသတ္ရံု	abattoir	n
သားသတ္ရံုမ်ား	abattoirs	n[pl]
ျပင္သစ္ဘုန္းေတာ္ႀကီး	abbe	n
သီလရွင္ေက်ာင္းတိုက္ ဆရာႀကီး	abbess	n
ခရစ္ယာန္ ေက်ာင္းတိုက္	abbey	n
ေက်ာင္းတိုက္ေဟာင္း	abbey	n
ခရစ္ယာန္ ေက်ာင္းထိုင္ဘုန္းႀကီး	abbot	n
ေက်ာင္းတိုက္ ဆရာေတာ္	abbot	n
ေက်ာင္းထိုင္ဆရာေတာ္မ်ား	abbots	n[pl]
ပုဒ္၊ ပုဒ္စုကို အတိုခ်ံဳးသည္	abbr.	n
အက်ဉ္းခ်ံဳးသည္	abbr.	n
ပုဒ္၊ ပုဒ္စုကို အတိုခ်ံဳးသည္	abbreviate	n
အက်ဉ္းခ်ံဳးသည္	abbreviate	n
အက်ဉ္းခ်ံဳး	abbreviate	v
အက်ဉ္းခ်ံဳးခဲ့	abbreviated	v[pt]
အက်ဉ္းခ်ံဳးခဲ့ၿပီး	abbreviated	v[pp]
အက်ဉ္းခ်ံဳး	abbreviates	v[sg]
အက်ဉ္းခ်ံဳးေန	abbreviating	v[ing]
ခ်ံဳ႕ျခင္း	abbreviation	n
အက်ဉ္းခ်ံဳးမ်ား	abbreviations	n[pl]
ေအ၊ ဘီ၊ စီ စေသာ အဂၤလိပ္ အကၡရာ	ABC	n
ဘာသာရပ္တစ္ရပ္၏ အေျခခံ၊ ကႀကီးေရးက	ABC	n
လြယ္လြယ္ကေလးပဲ	abc	IDM
နန္းစြန္႕သည္	abdicate	v
ဥေကၡာျပဳသည္	abdicate	v
လ်စ္လ်ဴရႈသည္	abdicate	v
အလိုအေလ်ာက္ ရာထူးစြန္႕လႊတ္ျခင္း	abdication	n
ဝမ္းဗိုက္	abdomen	n
ဝမ္း	abdomen	n
ဝမ္းဗိုက္ပိုင္း	abdominal	adj
အဓမၼေခၚေဆာင္သည္	abduct	v
ျဖားေယာင္းသည္	abduct	v
လူခိုးမႈက်ဴးလြန္သည္	abduct	v
ျပန္ေပးဆြဲသည္	abduct	v
အဓမၼေခၚေဆာင္ခဲ့	abducted	v[pt]
အဓမၼေခၚေဆာင္ခဲ့ၿပီး	abducted	v[pp]
အဓမၼေခၚေဆာင္ေန	abducting	v[ing]
အဓမၼ ေသြးေဆာင္ျခင္း	abduction	n
လူခိုးမႈ	abduction	n
ေသြးေဆာင္ဆြေခၚျခင္းမ်ား	abductions	n[pl]
အဓမၼေခၚေဆာင္	abducts	v[sg]
သေဘၤာ ၊ေလွ အကန္႕မ်ားေပၚတြင္	abeam	adv
သေဘၤာ၊ေလယာဉ္ ႏွင့္ေထာင့္မွန္က်ေသာ ေဘးတိုက္တန္းတန္းအရပ္တြင္	abeam	adv
အိပ္ရာထဲတြင္	abed	adv
ေဖာက္ျပန္ေသာ	aberrant	adj
မူမမွန္ေသာ	aberrant	adj
ေဖာက္ျပန္မႈ	aberration	n
မေကာင္းမႈက်ဴးလြန္ရာ၌ အားေပးကူညီသည္	abet	v
မေကာင္းမႈက်ဴးလြန္ရာ၌ အားေပးကူညီသူ	abettor	n
အားေပးကူညီသူမ်ား	abettors	n[pl]
ဆိုင္းငံ႕ထားျခင္း	abeyance	n
မက်င့္သံုးျခင္း	abeyance	n
ဥေကၡာျပဳမႈ	abeyance	n
စက္ဆုပ္သည္	abhor	v
ရြံမုန္းသည္	abhor	v
ရြံရွာျခင္း	abhorrence	n
စက္ဆုပ္ေသာ	abhorrent	adj
ရြံရွာေသာ	abhorrent	adj
သည္းခံသည္	abide	v
ေနသည္	abide	v
ခိုင္မာေသာ	abiding	adj
စြဲျမေသာ	abiding	adj
မေဖ်ာက္ဖ်က္ႏိုင္ေသာ	abiding	adj
စြမ္းရည္မ်ား	abilities	n[pl]
အစြမ္း၊ စြမ္းရည္	ability	n
စြမ္းပကား	ability	n
တတ္ႏိုင္စြမ္း	ability	n
တတ္ကၽြမ္းမႈ	ability	n
အရည္အခ်င္း	ability	n
ဆိုးရြားေသာ	abject	adj
ကမ္းကုန္ေသာ	abject	adj
တြင္းဆံုးက်ေသာ	abject	adj
ခၽြတ္ၿခံဳက်ေသာ	abject	adj
သိကၡာမဲ့ေသာ	abject	adj
အဖတ္ဆယ္မရေအာင္ ျဖစ္ေသာ	abject	adj
လက္မိႈင္ခ်လ်က္	abjectly	adv
ပိုင္ခြင့္၊ ခံယူခ်က္ စသည္ စြန္႕ပယ္သည္	abjure	v
စြန္႕သည္	abjure	v
ျငင္းပယ္သည္	abjure	v
ေတာက္ေလာင္ေသာ	ablaze	adj
ဟုန္းဟုန္း ေတာက္ေသာ	ablaze	adj
ထိန္လင္း ေသာ	ablaze	adj
ေတာက္ပေသာ	ablaze	adj
လွ်မ္းေသာ	ablaze	adj
ႏိုင္ ေသာ	able	adj
ပိုင္ႏိုင္ေသာ	able	adj
ကၽြမ္းက်င္ေသာ	able	adj
ေတာ္ေသာ	able	adj
ကၽြမ္းက်င္ပညာရွင္	able man	n
လိုအပ္ေသာအရည္အေသြး ျပည့္ဝသူ	able man	n
ေရတပ္ တပ္သားေက်ာ္	able seaman	n
က်န္းမာသန္စြမ္းေသာ	able-bodied	adj
ပို၍ကၽြမ္းက်င္	abler	adj[com]
အကၽြမ္းက်င္ဆံုး	ablest	adj[sup]
ကိုယ္လက္ေဆးေၾကာျခင္း	ablution	n
ေရကိုင္ျခင္း	ablution	n
ကိုယ္လက္သန္႕စင္ခန္း ၿဗိတိသွ်အသံုး	ablution	n
ပိုင္ႏိုင္စြာ	ably	adv
ပစ္ပယ္သည္	abnegate	v
စြန္႕လႊတ္သည္	abnegate	v
ဖယ္ၾကဉ္ျခင္း	abnegation	n
စြန္႕ပယ္ ျခင္း	abnegation	n
ပံုမွန္မဟုတ္ေသာ	abnomal	adj
မူမမွန္ေသာ	abnomal	adj
ေဖာက္ျပန္ေသာ	abnomal	adj
ပံုမွန္မဟုတ္ျခင္း၊ မူမမွန္ျခင္း	abnormality	n
ထူးထူး ကဲကဲ	abnormally	adv
အဆမတန္	abnormally	adv
ယဉ္ ေပၚသို႕	aboard	adv
ယဉ္ ေပၚတြင္	aboard	adv
ယဉ္ ေပၚ၌	aboard	adv
ေနအိမ္	abode	n
အိမ္	abode	n
ဘံုဗိမာန္	abode	n
ဖ်က္သိမ္းသည္	abolish	v
ရုပ္သိမ္းသည္	abolish	v
ဖ်က္သိမ္းခဲ့	abolished	v[pt]
ဖ်က္သိမ္းခဲ့ၿပီး	abolished	v[pp]
ဖ်က္သိမ္း	abolishes	v[sg]
ဖ်က္သိမ္းေန	abolishing	v[ing]
ဖ်က္သိမ္းျခင္း	abolition	n
ဖ်က္သိမ္းေရးဝါဒီ	abolitionist	n
စက္ဆုပ္ဖြယ္ ေကာင္းေသာ	abominable	adj
မသတီစရာ	abominable	adj
ဆိုးရြားေသာ	abominable	adj
ခ်ာေသာ	abominable	adj
ညံ့ေသာ	abominable	adj
စုတ္ပဲ့ေသာ	abominable	adj
မေကာင္း တေရာင္း	abominably	adv
ျဖစ္ကတတ္ဆန္း	abominably	adv
ဆိုးဆိုးရြားရြား	abominably	adv
စက္ဆုပ္ရြံရွာသည္	abominate	v
မ်က္စိေနာက္စရာ	abomination	n
စိတ္မေကာင္းစရာ	abomination	n
ေအာ့ႏွလံုး နာစရာ	abomination	n
ေရွးတိုင္းရင္း	aboriginal	n
ေရွးတိုင္ရင္းသားတို႕၏	aboriginal	n
ဩစေၾတးလ် ေရွးလူမ်ိဳး	aboriginal	n
အထူသျဖင့္ ဩစေၾတးလ်တြင္ ကနဦးေနထိုင္ခဲ့ေသာ လူမ်ိဳး	aborigine	n
ေရွးတီမဆြ တိုင္းရင္းသား	aborigine	n
ေရွးလူမ်ိဳး	aborigine	n
ကိုဝန္ဖ်က္သည္	abort	v
သားေလွ်ာသည္	abort	v
ကိုဝန္ပ်က္သည္	abort	v
ဖ်က္သိမ္းသည္	abort	v
ကိုယ္ဝန္ဖ်က္ခဲ့	aborted	v[pt]
ကိုယ္ဝန္ဖ်က္ခဲ့ၿပီး	aborted	v[pp]
ကိုယ္ဝန္ဖ်က္ေန	aborting	v[ing]
ကိုဝန္ဖ်က္မႈလုပ္ရပ္	abortion	n
ကိုဝန္ဖ်က္မႈ	abortion	n
ကိုဝန္ဖ်က္ခ် ျခင္း	abortion	n
တရားမဝင္ ကိုဝန္ ဖ်က္ခ်ေပးသူ	abortionist	n
ကိုယ္ဝန္ဖ်က္က်ျခင္းမ်ား	abortions	n[pl]
မေအာင္ျမင္ေသာ	abortive	adj
ကိုယ္ဝန္ဖ်က္	aborts	v[sg]
ေပါသည္	abound	v
လိႈင္သည္	abound	v
ျပည့္လွ်ံသည္	abound	v
ဆူေဝသည္	abound	v
ျပည့္ႏွက္သည္	abound	v
ခန္႕	about	adv
ေလာက္	about	adv
သေလာက္	about	adv
သည္းခံ ဆို ႏိုင္ရံုတစ္မည္	about	adv
ထိုထိုဤဤ	about	adv
ဟိုဟိုသည္သည္	about	adv
ဟိုမွာသည္မွာ	about	adv
မေရမရာ	about	adv
ဟိုလိုလိုသည္လိုလို	about	adv
လတ္လ်ား လတ္လ်ား	about	adv
ဝန္းက်င္တြင္	about	adv
အနီးအနားတြင္	about	adv
ေနရာအႏံွ႕အျပားတြင္ ျဖစ္ေပါသည္၊ ေပၚေပါက္သည္	about	adv
ေနာက္ျပန္	about	adv
